TKT-2024-00001,Critical Database Replication Lag,Primary DB cluster failing to sync with secondary,Database,Resolved,P1,Database Administration
TKT-2024-00002,Production Server CPU Overload,VM running at 100% utilization on prod env,Infrastructure,Resolved,P1,Cloud Platform Engineering
TKT-2024-00003,Phishing Email Received,Employee clicked link in email,Security,Resolved,P1,Security Operations Center
TKT-2024-00004,VM Migration Failed,Storage quota exceeded during migration,Infrastructure,Resolved,P2,Cloud Platform Engineering
TKT-2024-00005,CRM Integration Timeout,API call to Salesforce timing out,Application,Resolved,P2,Application Support Team
TKT-2024-00006,MFA Login Failure,User unable to authenticate with Duo,Security,Resolved,P2,Security Operations Center
TKT-2024-00007,Slow Query Performance,Report running longer than SLA,Database,Resolved,P2,Database Administration
TKT-2024-00008,VPN Connection Drop,Users unable to connect to site-to-site VPN,Network,Resolved,P2,Network Operations Center
TKT-2024-00009,SSO Token Expired,Identity provider session expired,Access Management,Resolved,P2,Identity & Access Management
TKT-2024-00010,VM Disk Space Critical,Storage usage at 95% threshold,Infrastructure,Resolved,P3,Cloud Platform Engineering
TKT-2024-00011,Email Queue Backlog,Outlook mailbox sync delayed,Application,Resolved,P3,Application Support Team
TKT-2024-00012,Phishing Simulation Test,Security awareness test failed for user,Security,Resolved,P3,Security Operations Center
TKT-2024-00013,Backup Job Failure,Offsite backup job completed with errors,Database,Resolved,P3,Database Administration
TKT-2024-00014,Routing Table Flap,IGP convergence causing route instability,Network,Resolved,P3,Network Operations Center
TKT-2024-00015,User Account Provisioning Delay,AD group membership missing,Access Management,Resolved,P3,Identity & Access Management
TKT-2024-00016,Critical Storage Node Failure,Physical drive failure in SAN array,Infrastructure,Resolved,P3,Cloud Platform Engineering
TKT-2024-00017,API Rate Limit Exceeded,Internal service hitting external limits,Application,Resolved,P3,Application Support Team
TKT-2024-00018,Password Policy Violation,User account locked due to complexity,Security,Resolved,P3,Security Operations Center
TKT-2024-00019,Database Index Missing,Query execution time increasing,Database,Resolved,P3,Database Administration
TKT-2024-00020,Firewall Rule Conflict,Traffic blocked by security policy,Network,Resolved,P3,Network Operations Center
TKT-2024-00021,License Expiration Notice,Software license expiring soon,Application,Resolved,P4,Application Support Team
TKT-2024-00022,Network Latency Spike,High latency detected in datacenter,Network,Resolved,P4,Network Operations Center
TKT-2024-00023,Cloud Instance Type Upgrade,Cost optimization recommendation,Infrastructure,Resolved,P4,Cloud Platform Engineering
TKT-2024-00024,Security Alert False Positive,Incident management noise,Security,Resolved,P4,Security Operations Center
TKT-2024-00025,Database Index Optimization,Recommendation to improve query speed,Database,Resolved,P4,Database Administration
TKT-2024-00026,Group Membership Change,User needs new role access,Access Management,Resolved,P4,Identity & Access Management
TKT-2024-00027,Load Balancer Health Check,Unhealthy node detected,Infrastructure,Resolved,P2,Cloud Platform Engineering
TKT-2024-00028,Application Deployment Rollback,CI pipeline failed build,Application,Resolved,P2,Application Support Team
TKT-2024-00029,MFA Policy Update,New requirement for SSO,Security,Resolved,P2,Security Operations Center
TKT-2024-00030,Transaction Timeout,Long running transaction blocking,Database,Resolved,P2,Database Administration
TKT-2024-00031,DNS Propagation Delay,Public DNS not updating records,Network,Resolved,P2,Network Operations Center
TKT-2024-00032,Access Request Approval,Manager needs to approve access,Access Management,Resolved,P2,Identity & Access Management
TKT-2024-00033,VM Snapshot Retention,Storage consuming snapshots,Infrastructure,Resolved,P2,Cloud Platform Engineering
TKT-2024-00034,Service Availability Drop,Application endpoint returning 500,Application,Resolved,P2,Application Support Team
TKT-2024-00035,Security Patch Deployment,Server OS update required,Security,Resolved,P2,Security Operations Center
TKT-2024-00036,Database Connection Pool,Pool size insufficient,Database,Resolved,P2,Database Administration
TKT-2024-00037,Network Bandwidth Saturation,Link utilization at 100%,Network,Resolved,P2,Network Operations Center
TKT-2024-00038,Role-Based Access Review,Permissions audit required,Access Management,Resolved,P2,Identity & Access Management
TKT-2024-00039,Server Firmware Update,Security vulnerability patch,Infrastructure,Resolved,P2,Cloud Platform Engineering
